fileName,applicationId,brandName,classType,abv,proof,netContents,producerName,producerAddress,countryOfOrigin,governmentWarning
01-old-tom-bourbon-match.png,TTB-COLA-TEST-001,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,90 Proof,750 mL,Old Tom Distillery,"Louisville, KY","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
01-old-tom-bourbon-mismatch.png,TTB-COLA-TEST-001,OLD TOM DISTILLERY,Kentucky Straight Bourbon Whiskey,45% Alc./Vol.,90 Proof,750 mL,Old Tom Distillery,"Louisville, KY","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
02-river-bend-ipa-match.png,TTB-COLA-TEST-002,RIVER BEND BREWING,India Pale Ale,6.2% Alc./Vol.,"",12 FL OZ,River Bend Brewing Co.,"Asheville, NC","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
02-river-bend-ipa-mismatch.png,TTB-COLA-TEST-002,RIVER BEND BREWING,India Pale Ale,6.2% Alc./Vol.,"",12 FL OZ,River Bend Brewing Co.,"Asheville, NC","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
03-casa-verde-wine-match.png,TTB-COLA-TEST-003,CASA VERDE VINEYARDS,Imported Red Wine,13.5% Alc./Vol.,"",750 mL,Casa Verde S.A.,"Mendoza, Argentina",Argentina,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
03-casa-verde-wine-mismatch.png,TTB-COLA-TEST-003,CASA VERDE VINEYARDS,Imported Red Wine,13.5% Alc./Vol.,"",750 mL,Casa Verde S.A.,"Mendoza, Argentina",Argentina,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
04-harbor-light-rum-match.png,TTB-COLA-TEST-004,HARBOR LIGHT,Caribbean Rum,40% Alc./Vol.,80 Proof,750 mL,Harbor Light Spirits,"San Juan, PR","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
04-harbor-light-rum-mismatch.png,TTB-COLA-TEST-004,HARBOR LIGHT,Caribbean Rum,40% Alc./Vol.,80 Proof,750 mL,Harbor Light Spirits,"San Juan, PR","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
05-north-star-vodka-match.png,TTB-COLA-TEST-005,NORTH STAR,Vodka,40% Alc./Vol.,80 Proof,1 L,North Star Spirits,"Duluth, MN","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
05-north-star-vodka-mismatch.png,TTB-COLA-TEST-005,NORTH STAR,Vodka,40% Alc./Vol.,80 Proof,1 L,North Star Spirits,"Duluth, MN","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
